Efficient:

 Real[0.10737418240000006,0.001979104366666667] 
 Real[0.08589934592000005,0.002049451266666667] 
 Real[0.06871947673600004,0.004872020333333335] 
 Real[0.054975581388800036,0.008330645800000001]
 Real[0.043980465111040035,0.017604352900000002]
 Real[0.03518437208883203,0.0331686029]         
 Real[0.028147497671065624,0.02327405686666667] 
 Real[0.022517998136852502,0.0186435642]        
 Real[0.018014398509482003,0.021477046666666666]
 Real[0.014411518807585602,0.025420075233333336]
 Real[0.011529215046068483,0.05764752370000001] 
 Real[0.009223372036854787,0.10647068559999996] 
 Real[0.00737869762948383,0.10745722103333334]  
 Real[0.005902958103587064,0.14759196460000007] 
 Real[0.004722366482869652,0.1733962562666667]  
 Real[0.0037778931862957215,0.17176936656666672]
 Real[0.0030223145490365774,0.19395513629999997]
 Real[0.002417851639229262,0.36101434123333337] 
 Real[0.0019342813113834097,0.48141745673333325]
 Real[0.0015474250491067279,0.6937566865666667] 
 Real[0.0012379400392853823,1.2236873427666668] 
 Real[0.0009903520314283058,2.2704247242666673] 
 Real[0.0007922816251426448,2.9098474441999995] 
 Real[0.0006338253001141158,3.5710096261]       
 Real[0.0005070602400912927,3.608644433033333]  
 Real[0.00040564819207303417,3.5818188633666663]
 Real[0.00032451855365842736,4.312255333233335]
 Real[0.00025961484292674194,4.266442246999999]
 Real[0.00020769187434139353,4.930090761299999]
 Real[0.00016615349947311485,5.711465512933333]
 Real[0.00013292279957849188,5.437633799466667
 Real[0.00010633823966279351,4.596931314366667]
 Real[8.507059173023481e-5,8.732187639766668]  
 Real[6.805647338418786e-5,11.199496447566665] 
 Real[5.444517870735029e-5,17.61890992003333]  
 Real[4.355614296588023e-5,35.532674728866674] 
 Real[1.1417981541647711e-5,87.65515341383333]
 Real[9.13438523331817e-6,102.25405476393333] 
 Real[7.307508186654536e-6,172.84948351160003]
 Real[5.846006549323629e-6,453.97418665273347]
 Real[4.676805239458904e-6,741.0796442509999] 

 

Classical:

[Real[0.10737418240000006,0.001044274],Real[0.08589934592000005,0.0015013988],Real[0.06871947673600004,0.008014340800000002],Real[0.054975581388800036,0.0191416282],Real[0.043980465111040035,0.0291527252],Real[0.03518437208883203,0.0645943196],Real[0.028147497671065624,0.1531671964],Real[0.022517998136852502,0.106641273],Real[0.018014398509482003,0.09949668240000001],Real[0.014411518807585602,0.117962352],Real[0.011529215046068483,0.1627617614],Real[0.009223372036854787,0.4710251564],Real[0.00737869762948383,0.7400702577999999],Real[0.005902958103587064,1.6899251718000001],Real[0.004722366482869652,1.6686207609999997],Real[0.0037778931862957215,3.2693247926],Real[0.0030223145490365774,3.3529853356000006],Real[0.002417851639229262,8.4141483568],Real[0.0019342813113834097,14.8860329656],Real[0.0015474250491067279,17.824011225],Real[0.0012379400392853823,26.906148046200002]]
 Real[0.0009903520314283058,105.5082501684]     
 Real[0.0007922816251426448,303.6555821582]     
 Real[0.0006338253001141158,357.84200344699997] 
 Real[0.0005070602400912927,427.20649355679996] 
 Real[0.00040564819207303417,443.8606306496]    
 Real[0.00032451855365842736,478.30516478600003]
 Real[0.00025961484292674194,835.5688265647999] 
 Real[0.00020769187434139353,829.7473781015999] 
 Real[0.00016615349947311485,1209.767569743]    
 Real[0.00013292279957849188,1529.6082348398] 


