Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,1.00000000000000005551e-01 with 64 bits of precision,1.58695052848262537345e+01 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,9.00000000000000105471e-02 with 64 bits of precision,1.58874341687765872648e+01 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,8.00000000000000016653e-02 with 64 bits of precision,1.59160297142542696116e+01 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,7.00000000000000066613e-02 with 64 bits of precision,6.1433400932709810352e+01 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,6.00000000000000047184e-02 with 64 bits of precision,6.14487322809787786353e+01 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,5.00000000000000027756e-02 with 64 bits of precision,6.14731556056607117977e+01 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,4.00000000000000077716e-02 with 64 bits of precision,9.99420097992198049053e+01 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,2.99999999999999988898e-02 with 64 bits of precision,3.45964926192329632754e+02 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,2.00000000000000038858e-02 with 64 bits of precision,3.45975672484523824407e+02 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,1.00000000000000088818e-02 with 64 bits of precision,3.45989082456060449866e+02 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,1.00000000000000002082e-02 with 64 bits of precision,3.45989082456060449866e+02 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,9.00000000000000105471e-03 with 64 bits of precision,3.45992525460402030102e+02 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,8.00000000000000016653e-03 with 64 bits of precision,1.1542838004777753774e+04 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,7.00000000000000014572e-03 with 64 bits of precision,1.15428394623125567744e+04 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,6.0000000000000001249e-03 with 64 bits of precision,1.15428413279319088156e+04 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,5.00000000000000010408e-03 with 64 bits of precision,1.42805454374568204399e+04 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,4.00000000000000008327e-03 with 64 bits of precision,1.42805466130154109843e+04 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,3.00000000000000006245e-03 with 64 bits of precision,1.42805479826904515095e+04 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,2.00000000000000004163e-03 with 64 bits of precision,6.78116043178888042817e+04 with 64 bits of precision]
Real[1.54508497187473725631e-01 with 64 bits of precision,2.44717418524232135923e-02 with 64 bits of precision,9.8768834059513777035e-01 with 64 bits of precision,1.00000000000000088818e-03 with 64 bits of precision,1.92322541727529101109e+05 with 64 bits of precision]
